Title;Author;Publisher;Published Date;Format;Pages;Series;Volume;Language;ISBN;Page Read;Item Url;Icon Path;Photo Path;Image Url;Summary;Location;Price;Genres;Rating;Added Date;Copy Index;Read;Started Reading Date;Finished Reading Date;Favorite;Comments;Tags;BookShelf;Settings
Donne dagli occhi grandi;"Mastretta, Ángeles; Maneri, Gina";Giunti Editore;1998-12-22;Copertina flessibile;192;;;Italiano;9788809214170;;https://www.amazon.it/dp/880921417X?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41DJ-248ObL._SL500_.jpg;"La zia Daniela s'innamorò come s'innamorano sempre le donne intelligenti: come un'idiota. Il microcosmo della città messicana di Puebla si trasforma in un grande universo femminile animato dalle avventure delle ""zie"": donne capaci di affascinarci con i loro sogni, con le loro passioni, con il tratto originale che ognuna di loro imprime alla vita quotidiana.""";;;Narrativa contemporanea;3.99;05/23/2026;;;;;;;;Sx5;
Donne dell'anima mia;"Allende, Isabel; Liverani, Elena";Feltrinelli;2020-11-12;Copertina flessibile;176;;;ita;9788807034206;;https://www.goodreads.com/book/show/55883993-donne-dell-anima-mia;;;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605200391l/55883993._SX98_.jpg;Isabel parte dalle origini, dai dati biografici di un’infanzia e di un’adolescenza passate nella cornice di una rigida struttura patriarcale. L’istinto di ribellione in lei è una sorta di reazione naturale a questa esistenziale forma di discriminazione che genera l’attitudine filosofica che l’ha portata negli anni a schierarsi sempre con i deboli, con gli emarginati e con tutte le donne, vittime di una mancata emancipazione. Isabel ci racconta le tappe del suo cammino, la consapevolezza dell’importanza dell’indipendenza economica, le relazioni tra sessi, la sua biografia sentimentale e professionale. E poi la terza età, ciò che ha significato per lei, donna pienamente liberata e convinta che i modelli imposti portino a una forma di pregiudizio contro la vecchiaia non dissimile dagli atteggiamenti sessisti e razzisti.;;;Non-fiction;4.03;05/23/2026;;;;;;;;Sx5;
Dostoevskij Il Giorno Della Civetta;Dostoevskij;corriere della sera i grandi romanzi;2002-01-01;Copertina rigida;144;;;Italiano;;;https://www.amazon.it/dp/B002P409BE?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41pNv-o2lxL._SL500_.jpg;;;;Testi di formazione e consultazione;;05/23/2026;;;;;;;;Sx6;
Dostoevskij Il Giorno Della Civetta;Dostoevskij;corriere della sera i grandi romanzi;2002-01-01;Copertina rigida;144;;;Italiano;;;https://www.amazon.it/dp/B002P409BE?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41pNv-o2lxL._SL500_.jpg;;;;Testi di formazione e consultazione;;05/23/2026;1;;;;;;;Sx6;
Dostoevskij Il Giorno Della Civetta;Dostoevskij;corriere della sera i grandi romanzi;2002-01-01;Copertina rigida;144;;;Italiano;;;https://www.amazon.it/dp/B002P409BE?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41pNv-o2lxL._SL500_.jpg;;;;Testi di formazione e consultazione;;05/23/2026;2;;;;;;;Sx6;
Enciclopedia Universale;"Author, Unknown; , GARZANTI";Garzanti;2011-11-24;Copertina flessibile;1975;;;Italiano;9788811505303;;https://www.amazon.it/dp/8811505305?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41tq6uy1k0L._SL500_.jpg;;;;Dizionari e vocabolari;0;05/23/2026;;;;;;;;Sx6;
Eneide;", Virgil; Ramous, M.; Conte, Gian Biagio; Ramous, Mario";Marsilio;2018-10-11;Copertina flessibile;400;;;Italiano;9788831743013;;https://www.amazon.it/dp/8831743015?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/31fdRsSWGoL._SL500_.jpg;Il viaggio di Enea, novello Odisseo, per fondare sui lidi italici una nuova Troia. E, al di là del racconto mitico, una società, la società romana impegnata a ricostruire una sua identità dopo le lacerazioni delle guerre civili sotto la guida di Augusto, il principe restauratore, il garante della pace. L'Eneide è il poema epico-storico che celebra, nel nome di Enea, Roma e la casa di Augusto, i principi e i valori della tradizione romana. Ma è anche, come l'Iliade e come l'Odissea a cui si ispira, un poema universale che parla alla coscienza e alla sensibilità di tutti gli uomini attraverso i temi immortali del suo canto: la violenza e la pietà, l'eroismo e la gloria, il dovere e il destino. Un'opera di altissima poesia, un modello per tutta la cultura occidentale.;;;Greca e romana;3.88;05/23/2026;;;;;;;;Sx6;
Essere Cristiani Una summa della fede per tutti gli uomini del nostro tempo;Küng, Hans;Mondadori;;Copertina flessibile;;;;Italiano;9788804169000;;https://www.amazon.it/dp/8804169001?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/51-4AzTJFEL._SL500_.jpg;;;;Gialli e Thriller;4.07;05/22/2026;;;;;;;;Sx6;
Eva Luna;"Allende, Isabel; Morino, Angelo";Feltrinelli;2012-06-27;Copertina flessibile;272;;;Italiano;9788807810763;;https://www.amazon.it/dp/880781076X?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/51Clv8l46GL._SL500_.jpg;"Eva Luna è una bambina, figlia di diseredati, che viene abbandonata fin da piccola e destinata come tanti suoi simili al mestiere di serva. Osservatrice, avventurosa, con una spiccata personalità, la piccola cresce in un mondo oppresso dalla dittatura, divorato dall'ingiustizia, ma lo affronta e lo trasforma con la fantasia. Ne nasce un'indimenticabile figura di donna, nella tradizione del romanzo picaresco spagnolo, una donna in cui l'immaginazione, lo spirito di iniziativa, insieme a piccoli casi fortunati e inaspettati gesti di solidarietà, consentono di sopravvivere fino a che la realtà si costruisce a misura del desiderio. Allora non è più necessario inventare un amore eccezionale, basta solo vestirlo a festa perchè duri nella memoria e perchè ogni storia possa avere un finale felice da raccontare tra le canzoni dell'adolescenza, ""fra risate e sorsi di vino"".";;;Narrativa contemporanea;4.01;05/23/2026;;;;;;;;Sx5;
Eva Luna racconta;"Allende, Isabel; Guadalupi, Gianni";Feltrinelli;2012-06-27;Copertina flessibile;272;;;Italiano;9788807812064;;https://www.amazon.it/dp/8807812061?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/51Cx768ZlPL._SL500_.jpg;Una bimba solitaria si innamora dell'amante della madre e, nelle torride sieste della pensione in cui vive, inventa misteriose cerimonie che conducono entrambi sull'orlo di un profondo abisso. Da un sotterraneo abbandonato viene liberata una vecchia rimasta prigioniera per mezzo secolo, vittima di un caudillo geloso. Quando si ritrova all'aperto, nuda, i lunghi capelli bianchi che sfiorano terra, gli occhi ciechi per il buio di decenni, non ricorda neppure il proprio nome. Nel fragore di una battaglia, tra le fiamme e gli spari, un uomo violenta una ragazza e ne uccide il padre. Vivrà perseguito dal rimorso fino a tornare sul luogo del delitto, dove la donna lo aspetta per vendicarsi. Sono alcuni straordinari personaggi di questi racconti, narrati da Eva Luna, accanto ai quali incontriamo Rolf Carlé, il fotografo segnato dagli orrori della guerra, Riad Halibì, l'arabo dal cuore compassionevole, la Maestra Ines, il Benefattore e altri che i lettori di Eva Lunagià conoscono. Un sottile filo narrativo unisce queste storie d'amore e di violenza, dal tono sempre contenuto, quasi dimesso, in contrasto con la ricchezza delle immagini, l'esuberanza degli scenari e la stravaganza delle passioni che determinano i destini di una stralunata umanità.;;;Narrativa contemporanea;3.98;05/23/2026;;;;;;;;Sx5;
Ex cattedra;Starnone, Domenico;Feltrinelli;2005-07-04;Copertina flessibile;132;;;Italiano;9788807811029;;https://www.amazon.it/dp/8807811022?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/51xH8llxw3L._SL500_.jpg;"Anno scolastico 1985-1986. Sullo sfondo di una scuola esilarante, descritta minuziosamente in tutti i suoi rituali, insegnanti e studenti vagano senza meta per corridoi e aule. Tutte le passioni sono sopite. Anche il dubbio ha perso ogni funzione didattica. La cattedra è un'ex cattedra. A tratti, in questo ambiente rigorosamente chiuso, giunge l'eco degli eventi del mondo. Allora si accendono vecchie e nuove passioni. Ma è un fuoco di paglia. Insegnanti e studenti tornano presto ad essere figure impassibili e insieme compassionevoli, come quegli attori tristissimi pagati per prendere torte in faccia. ""Ex cattedra"" diverte, ma al modo di quegli attori: mettendo in scena una tragedia che, varcato il limite del tragico, volge al comico. Nato come resoconto settimanale delle condizioni di lavoro nella scuola media superiore (ogni domenica sulle pagine di ""il manifesto""), questo testo trasforma il reportage su una istituzione ai margini estremi della crisi in una narrazione che corre sul filo della risata.

In copertina: disegno di Sergio Staino";;;Narrativa contemporanea;3.51;05/23/2026;;;;;;;;Sx5;
Feelin Rooti;Oroonies, Cheapsuit;Oroonie Toons;;Copertina flessibile;;;;;;;https://www.amazon.it/dp/B00651E7H0?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41uV3UyqBQL._SL500_.jpg;;;;Categorie;;05/23/2026;;;;;;;;Sx5;
